,folio,topic,hand,quire,language,topic_nmf
0,f1r,botanical,1,1,a,3
1,f1v,botanical,1,1,a,3
2,f2r,botanical,1,1,a,4
3,f2v,botanical,1,1,a,4
4,f3r,botanical,1,1,a,4
5,f3v,botanical,1,1,a,4
6,f4r,botanical,1,1,a,4
7,f4v,botanical,1,1,a,4
8,f5r,botanical,1,1,a,2
10,f6r,botanical,1,1,a,3
11,f6v,botanical,1,1,a,4
12,f7r,botanical,1,1,a,0
13,f7v,botanical,1,1,a,2
14,f8r,botanical,1,1,a,4
15,f8v,botanical,1,1,a,3
16,f9r,botanical,1,2,a,2
17,f9v,botanical,1,2,a,0
18,f10r,botanical,1,2,a,2
19,f10v,botanical,1,2,a,0
20,f11r,botanical,1,2,a,2
22,f13r,botanical,1,2,a,2
23,f13v,botanical,1,2,a,2
24,f14r,botanical,1,2,a,2
25,f14v,botanical,1,2,a,5
26,f15r,botanical,1,2,a,4
27,f15v,botanical,1,2,a,5
28,f16r,botanical,1,2,a,5
29,f16v,botanical,1,2,a,2
30,f17r,botanical,1,3,a,4
31,f17v,botanical,1,3,a,0
32,f18r,botanical,1,3,a,4
33,f18v,botanical,1,3,a,0
34,f19r,botanical,1,3,a,4
35,f19v,botanical,1,3,a,5
36,f20r,botanical,1,3,a,0
37,f20v,botanical,1,3,a,0
38,f21r,botanical,1,3,a,2
39,f21v,botanical,1,3,a,0
40,f22r,botanical,1,3,a,4
41,f22v,botanical,1,3,a,5
42,f23r,botanical,1,3,a,0
43,f23v,botanical,1,3,a,0
44,f24r,botanical,1,3,a,2
45,f24v,botanical,1,3,a,4
47,f25v,botanical,1,4,a,0
48,f26r,botanical,2,4,b,2
49,f26v,botanical,2,4,b,3
50,f27r,botanical,1,4,a,4
51,f27v,botanical,1,4,a,2
52,f28r,botanical,1,4,a,0
53,f28v,botanical,1,4,a,2
54,f29r,botanical,1,4,a,4
55,f29v,botanical,1,4,a,4
56,f30r,botanical,1,4,a,0
57,f30v,botanical,1,4,a,0
58,f31r,botanical,2,4,b,1
59,f31v,botanical,2,4,b,1
60,f32r,botanical,1,4,a,0
61,f32v,botanical,1,4,a,0
62,f33r,botanical,2,5,b,1
63,f33v,botanical,2,5,b,1
64,f34r,botanical,2,5,b,4
65,f34v,botanical,2,5,b,2
66,f35r,botanical,1,5,a,0
67,f35v,botanical,1,5,a,4
68,f36r,botanical,1,5,a,0
69,f36v,botanical,1,5,a,5
70,f37r,botanical,1,5,a,0
