
Topic 0:
(0) f15v: hand 1, language a, botanical
(0) f6v: hand 1, language a, botanical
(0) f42r: hand 1, language a, botanical
(0) f2v: hand 1, language a, botanical
(0) f56r: hand 1, language a, botanical
(0) f49v: hand 1, language a, botanical
(0) f18r: hand 1, language a, botanical
(0) f16v: hand 1, language a, botanical
(0) f4r: hand 1, language a, botanical
(0) f56v: hand 1, language a, botanical
(0) f20v: hand 1, language a, botanical
(0) f47r: hand 1, language a, botanical
(0) f42v: hand 1, language a, botanical
(0) f29v: hand 1, language a, botanical
(0) f11r: hand 1, language a, botanical
(0) f13r: hand 1, language a, botanical
(0) f36r: hand 1, language a, botanical
(0) f15r: hand 1, language a, botanical
(0) f1v: hand 1, language a, botanical
(0) f8r: hand 1, language a, botanical

Topic 1:
(1) f79v: hand 2, language b, balneological
(1) f82v: hand 2, language b, balneological
(1) f103r: hand 3, language b, starred paragraphs
(1) f83v: hand 2, language b, balneological
(1) f81r: hand 2, language b, balneological
(1) f77r: hand 2, language b, balneological
(1) f106r: hand 3, language b, starred paragraphs
(1) f103v: hand 3, language b, starred paragraphs
(1) f75r: hand 2, language b, balneological
(1) f78r: hand 2, language b, balneological
(1) f111v: hand 3, language b, starred paragraphs
(1) f80r: hand 2, language b, balneological
(1) f82r: hand 2, language b, balneological
(1) f79r: hand 2, language b, balneological
(1) f107v: hand 3, language b, starred paragraphs
(1) f80v: hand 2, language b, balneological
(5) f84v: hand 2, language b, balneological
(1) f106v: hand 3, language b, starred paragraphs
(5) f76r: hand 2, language b, balneological
(1) f111r: hand 3, language b, starred paragraphs

Topic 2:
(2) f40r: hand 2, language b, botanical
(2) f33v: hand 2, language b, botanical
(2) f55v: hand 2, language b, botanical
(2) f39v: hand 2, language b, botanical
(2) f39r: hand 2, language b, botanical
(2) f94r: hand 3, language b, botanical
(2) f95r1: hand 3, language b, botanical
(2) f95v2: hand 3, language b, botanical
(2) f40v: hand 2, language b, botanical
(2) f43v: hand 2, language b, botanical
(2) f95r2: hand 3, language b, botanical
(2) f33r: hand 2, language b, botanical
(2) f50r: hand 2, language b, botanical
(2) f86v5: hand 2, language b, rose
(2) f50v: hand 2, language b, botanical
(2) f94v: hand 3, language b, botanical
(2) f34r: hand 2, language b, botanical
(2) f43r: hand 2, language b, botanical
(2) f85r2: hand 2, language b, rose
(2) f55r: hand 2, language b, botanical

Topic 3:
(3) f101v2: hand 1, language a, recipies
(3) f101r1: hand 1, language a, recipies
(3) f102v1: hand 1, language a, recipies
(3) f102v2: hand 1, language a, recipies
(3) f54v: hand 1, language a, botanical
(3) f96r: hand 1, language a, botanical
(3) f100r: hand 1, language a, recipies
(3) f88r: hand 1, language a, recipies
(3) f89v1: hand 1, language a, recipies
(3) f89r1: hand 1, language a, recipies
(3) f51r: hand 1, language a, botanical
(3) f102r2: hand 1, language a, recipies
(3) f90v1: hand 1, language a, botanical
(3) f88v: hand 1, language a, recipies
(3) f100v: hand 1, language a, recipies
(3) f99r: hand 1, language a, recipies
(3) f30r: hand 1, language a, botanical
(3) f89r2: hand 1, language a, recipies
(4) f7v: hand 1, language a, botanical
(0) f24r: hand 1, language a, botanical

Topic 4:
(4) f25v: hand 1, language a, botanical
(4) f35v: hand 1, language a, botanical
(4) f37v: hand 1, language a, botanical
(4) f30v: hand 1, language a, botanical
(4) f32v: hand 1, language a, botanical
(4) f36v: hand 1, language a, botanical
(4) f32r: hand 1, language a, botanical
(4) f10v: hand 1, language a, botanical
(4) f9v: hand 1, language a, botanical
(4) f21v: hand 1, language a, botanical
(4) f19v: hand 1, language a, botanical
(4) f20r: hand 1, language a, botanical
(4) f38v: hand 1, language a, botanical
(4) f22v: hand 1, language a, botanical
(4) f22r: hand 1, language a, botanical
(4) f7v: hand 1, language a, botanical
(4) f19r: hand 1, language a, botanical
(4) f47v: hand 1, language a, botanical
(4) f49r: hand 1, language a, botanical
(4) f14v: hand 1, language a, botanical

Topic 5:
(5) f31r: hand 2, language b, botanical
(5) f26r: hand 2, language b, botanical
(5) f77v: hand 2, language b, balneological
(5) f83r: hand 2, language b, balneological
(5) f84r: hand 2, language b, balneological
(5) f41r: hand 2, language b, botanical
(5) f46v: hand 2, language b, botanical
(5) f108r: hand 3, language b, starred paragraphs
(5) f75v: hand 2, language b, balneological
(5) f76v: hand 2, language b, balneological
(5) f84v: hand 2, language b, balneological
(5) f26v: hand 2, language b, botanical
(5) f78v: hand 2, language b, balneological
(1) f78r: hand 2, language b, balneological
(5) f76r: hand 2, language b, balneological
(1) f81r: hand 2, language b, balneological
(5) f116r: hand 3, language b, starred paragraphs
(1) f75r: hand 2, language b, balneological
(2) f50v: hand 2, language b, botanical
(5) f34v: hand 2, language b, botanical
